Date,Close,1d_abs,1d_dir,2d_abs,1d_cls,2d_cls,3d_cls,4d_cls,5d_cls,6d_cls,7d_cls,8d_cls,9d_cls,10d_cls,50d_ma,100d_ma,200d_ma,future_price
2011-09-26,20.71,0.3100000000000023,1,0.3100000000000023,20.4,20.4,21.16,21.97,22.15,22.08,21.97,21.58,21.2,21.08,21.146200000000025,20.690999999999985,21.105100000000036,23.74
2011-09-27,20.9,0.18999999999999773,1,0.5,20.71,20.4,20.4,21.16,21.97,22.15,22.08,21.97,21.58,21.2,21.13400000000003,20.692699999999988,21.10035000000003,23.75
2011-09-28,20.83,-0.07000000000000028,0,0.11999999999999744,20.9,20.71,20.4,20.4,21.16,21.97,22.15,22.08,21.97,21.58,21.10500000000003,20.693099999999987,21.095650000000028,23.93
2011-09-29,20.72,-0.10999999999999943,0,-0.17999999999999972,20.83,20.9,20.71,20.4,20.4,21.16,21.97,22.15,22.08,21.97,21.081600000000027,20.69269999999998,21.08890000000003,23.85
2011-09-30,20.26,-0.4599999999999973,0,-0.5699999999999967,20.72,20.83,20.9,20.71,20.4,20.4,21.16,21.97,22.15,22.08,21.048200000000023,20.688999999999982,21.07895000000003,23.9
2011-10-03,19.97,-0.2900000000000027,0,-0.75,20.26,20.72,20.83,20.9,20.71,20.4,20.4,21.16,21.97,22.15,21.002200000000027,20.68489999999998,21.066950000000034,23.97
2011-10-04,20.63,0.6600000000000001,1,0.36999999999999744,19.97,20.26,20.72,20.83,20.9,20.71,20.4,20.4,21.16,21.97,20.96320000000003,20.68769999999998,21.058650000000036,24.09
2011-10-05,21.08,0.4499999999999993,1,1.1099999999999994,20.63,19.97,20.26,20.72,20.83,20.9,20.71,20.4,20.4,21.16,20.930400000000027,20.69729999999998,21.05295000000003,23.91
2011-10-06,21.45,0.370000000000001,1,0.8200000000000003,21.08,20.63,19.97,20.26,20.72,20.83,20.9,20.71,20.4,20.4,20.91720000000003,20.71429999999998,21.048050000000032,24.03
2011-10-07,21.37,-0.0799999999999983,0,0.2900000000000027,21.45,21.08,20.63,19.97,20.26,20.72,20.83,20.9,20.71,20.4,20.896000000000026,20.729599999999976,21.04225000000003,23.95
2011-10-10,21.93,0.5599999999999987,1,0.4800000000000004,21.37,21.45,21.08,20.63,19.97,20.26,20.72,20.83,20.9,20.71,20.891200000000026,20.749099999999977,21.038850000000036,23.95
2011-10-11,21.98,0.05000000000000071,1,0.6099999999999994,21.93,21.37,21.45,21.08,20.63,19.97,20.26,20.72,20.83,20.9,20.889600000000026,20.768899999999977,21.036600000000032,24.13
2011-10-12,21.95,-0.030000000000001137,0,0.019999999999999574,21.98,21.93,21.37,21.45,21.08,20.63,19.97,20.26,20.72,20.83,20.895000000000028,20.790299999999974,21.034450000000028,24.33
2011-10-13,22.13,0.17999999999999972,1,0.14999999999999858,21.95,21.98,21.93,21.37,21.45,21.08,20.63,19.97,20.26,20.72,20.90200000000003,20.815999999999978,21.033350000000027,24.33
2011-10-14,22.2,0.07000000000000028,1,0.25,22.13,21.95,21.98,21.93,21.37,21.45,21.08,20.63,19.97,20.26,20.92620000000003,20.842599999999976,21.033100000000026,24.49
2011-10-17,21.97,-0.23000000000000043,0,-0.16000000000000014,22.2,22.13,21.95,21.98,21.93,21.37,21.45,21.08,20.63,19.97,20.95000000000003,20.86659999999997,21.031450000000028,24.29
2011-10-18,22.24,0.2699999999999996,1,0.03999999999999915,21.97,22.2,22.13,21.95,21.98,21.93,21.37,21.45,21.08,20.63,20.99860000000003,20.88939999999997,21.03085000000003,24.32
2011-10-19,22.09,-0.14999999999999858,0,0.120000000000001,22.24,21.97,22.2,22.13,21.95,21.98,21.93,21.37,21.45,21.08,21.02640000000003,20.909999999999968,21.02905000000003,24.41
2011-10-20,22.02,-0.07000000000000028,0,-0.21999999999999886,22.09,22.24,21.97,22.2,22.13,21.95,21.98,21.93,21.37,21.45,21.07520000000003,20.92789999999997,21.027300000000032,24.32
2011-10-21,22.11,0.08999999999999986,1,0.019999999999999574,22.02,22.09,22.24,21.97,22.2,22.13,21.95,21.98,21.93,21.37,21.10980000000003,20.951299999999968,21.022700000000032,25.18
2011-10-24,22.14,0.030000000000001137,1,0.120000000000001,22.11,22.02,22.09,22.24,21.97,22.2,22.13,21.95,21.98,21.93,21.146400000000032,20.97669999999997,21.01915000000003,25.75
2011-10-25,21.83,-0.3100000000000023,0,-0.28000000000000114,22.14,22.11,22.02,22.09,22.24,21.97,22.2,22.13,21.95,21.98,21.170200000000026,21.001599999999968,21.01555000000003,24.61
2011-10-26,21.65,-0.17999999999999972,0,-0.490000000000002,21.83,22.14,22.11,22.02,22.09,22.24,21.97,22.2,22.13,21.95,21.190400000000025,21.02379999999997,21.011500000000026,24.49
2011-10-27,22.19,0.5400000000000027,1,0.360000000000003,21.65,21.83,22.14,22.11,22.02,22.09,22.24,21.97,22.2,22.13,21.223000000000027,21.050999999999974,21.008400000000023,24.4
2011-10-28,21.97,-0.22000000000000242,0,0.3200000000000003,22.19,21.65,21.83,22.14,22.11,22.02,22.09,22.24,21.97,22.2,21.260600000000032,21.07699999999997,21.005600000000026,24.64
2011-10-31,21.68,-0.28999999999999915,0,-0.5100000000000016,21.97,22.19,21.65,21.83,22.14,22.11,22.02,22.09,22.24,21.97,21.302600000000034,21.09989999999997,21.00095000000003,24.52
2011-11-01,21.16,-0.5199999999999996,0,-0.8099999999999987,21.68,21.97,22.19,21.65,21.83,22.14,22.11,22.02,22.09,22.24,21.335400000000035,21.11969999999997,20.99225000000003,24.49
